question,actual_answer,student_answer,score,feedback
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor converts electrical energy into mechanical energy.,0.78,Meaning correct but structure different
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An ...,0.53,Partially correct
How does an electric motor work?,An electric motor converts electrical energy into mechanical energy.,An electric motor generates electrical energy from mechanical energy.,0.19,Incorrect
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c².,1.0,Correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c².,0.75,Meaning correct but structure different
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The ...,0.45,Partially correct
What is the Pythagorean theorem?,The Pythagorean theorem states that a² + b² = c².,The Pythagorean theorem states that a² + b² = c.,0.33,Incorrect
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,1.0,Correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,0.81,Meaning correct but structure different
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's ...,0.68,Partially correct
Define Newton's first law of motion.,Newton's first law states that an object in motion stays in motion unless acted upon by an external force.,Newton's first law states that objects stay still unless pushed.,0.31,Incorrect
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and gas.",1.0,Correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter were solid, liquid, and gas.",0.86,Meaning correct but structure different
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.",The ...,0.57,Partially correct
What are the three states of matter?,"The three states of matter are solid, liquid, and gas.","The three states of matter are solid, liquid, and plasma.",0.2,Incorrect
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is known as the powerhouse of the cell.,1.0,Correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria was known as the powerhouse of the cell.,0.82,Meaning correct but structure different
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The ...,0.63,Partially correct
What is the function of the mitochondria?,The mitochondria is known as the powerhouse of the cell.,The mitochondria is the brain of the cell.,0.03,Incorrect
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Leonardo da Vinci.,1.0,Correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lwasa was painted by Leonardo da Vinci.,0.84,Meaning correct but structure different
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The ...,0.41,Partially correct
Who painted the Mona Lisa?,The Mona Lisa was painted by Leonardo da Vinci.,The Mona Lisa was painted by Pablo Picasso.,0.25,Incorrect
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,1.0,Correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,0.9,Meaning correct but structure different
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply ...,0.5,Partially correct
Explain the concept of supply and demand.,Supply and demand describe how prices fluctuate based on availability and desire for a product.,Supply and demand describe how companies control markets.,0.39,Incorrect
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,1.0,Correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was developed by Albert Einstein.,0.74,Meaning correct but structure different
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The ...,0.53,Partially correct
What is the theory of relativity?,The theory of relativity was developed by Albert Einstein.,The theory of relativity was discovered by Isaac Newton.,0.32,Incorrect
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the yen.,1.0,Correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan was the yen.,0.82,Meaning correct but structure different
What is the currency of Japan?,The currency of Japan is the yen.,The ...,0.43,Partially correct
What is the currency of Japan?,The currency of Japan is the yen.,The currency of Japan is the won.,0.37,Incorrect
What is the capital of France?,The capital of France is Paris.,The capital of France is Paris.,1.0,Correct
What is the capital of France?,The capital of France is Paris.,The capital of France was Parwas.,0.9,Meaning correct but structure different
What is the capital of France?,The capital of France is Paris.,The ...,0.58,Partially correct
What is the capital of France?,The capital of France is Paris.,The capital of France is Berlin.,0.15,Incorrect
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton discovered gravity.,1.0,Correct
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac Newton dwascovered gravity.,0.88,Meaning correct but structure different
Who discovered gravity?,Isaac Newton discovered gravity.,Isaac ...,0.7,Partially correct
Who discovered gravity?,Isaac Newton discovered gravity.,Galileo discovered gravity.,0.39,Incorrect
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is the process where plants use sunlight to make food.,1.0,Correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosyntheswas was the process where plants use sunlight to make food.,0.71,Meaning correct but structure different
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis ...,0.69,Partially correct
Explain the process of photosynthesis.,Photosynthesis is the process where plants use sunlight to make food.,Photosynthesis is how animals make food.,0.09,Incorrect
